,street,city,zip,state,beds,baths,sq__ft,type,sale_date,price,latitude,longitude
0,351,33,95838,0,2,1,836,2,4,59222,506,311
1,522,33,95823,0,3,1,1167,2,4,68212,229,328
2,260,33,95815,0,2,1,796,2,4,68880,456,258
3,263,33,95815,0,2,1,852,2,4,69307,451,286
4,619,33,95824,0,2,1,797,2,4,81900,304,302
5,598,33,95841,0,3,1,1122,0,4,89921,589,635
6,629,33,95842,0,3,2,1104,2,4,90895,678,588
7,239,33,95820,0,3,1,1177,2,4,91002,332,126
8,50,28,95670,0,2,2,941,0,4,94905,465,810
9,742,30,95673,0,3,2,1146,2,4,98937,748,262
10,672,33,95838,0,3,2,909,2,4,100309,523,217
11,413,33,95823,0,3,2,1289,2,4,106250,197,184
12,280,33,95815,0,1,1,871,2,4,106852,459,300
13,183,33,95822,0,3,1,1020,2,4,107502,239,91
14,463,33,95842,0,2,2,1022,2,4,108750,639,557
15,744,33,95842,0,2,2,1134,0,4,110700,745,589
16,692,30,95673,0,2,1,844,2,4,113263,706,211
17,652,4,95621,0,2,1,795,0,4,116250,671,667
18,235,33,95833,0,2,1,588,2,4,120000,447,150
19,56,30,95673,0,3,2,1356,2,4,121630,708,169
20,635,4,95621,0,3,2,1118,2,4,122000,767,652
21,497,33,95823,0,4,2,1329,2,4,122682,191,254
22,761,23,95660,0,4,2,1240,2,4,123000,751,460
23,913,33,95834,0,3,2,1601,2,4,124100,492,109
24,373,23,95660,0,3,2,901,2,4,125000,749,484
25,381,0,95843,0,3,2,1088,2,4,126640,776,495
26,415,33,95820,0,3,1,963,2,4,127281,337,136
27,105,33,95832,0,3,2,1119,2,4,129000,216,75
28,974,33,95827,0,4,2,1380,2,4,131200,378,633
29,788,33,95828,0,3,2,1248,2,4,132000,201,424
30,529,9,95758,0,2,2,1039,0,4,133000,97,251
31,695,23,95660,0,3,2,1152,2,4,134555,713,505
32,306,33,95827,0,3,2,1380,2,4,136500,391,621
33,802,10,95626,0,3,2,1116,2,4,138750,785,398
34,530,9,95758,0,2,2,1039,0,4,141000,97,251
35,391,33,95823,0,3,2,1418,2,4,146250,253,173
36,512,23,95660,0,3,2,1082,2,4,147308,575,489
37,773,33,95823,0,4,2,1472,2,4,148750,233,166
38,723,33,95828,0,4,2,1146,2,4,149593,281,366
39,232,33,95825,0,1,1,760,0,4,150000,414,426
40,486,33,95835,0,2,2,1304,0,4,152000,580,13
41,194,33,95822,0,3,2,1207,2,4,154000,279,105
42,891,9,95624,0,3,2,1056,2,4,156896,78,469
43,585,0,95843,0,2,2,1043,2,4,161250,801,624
44,740,23,95660,0,4,2,1587,2,4,161500,740,507
45,249,33,95833,0,4,1,1120,2,4,164000,450,108
46,863,33,95823,0,4,2,1580,2,4,165000,143,320
47,755,33,95823,0,4,1,1955,2,4,166357,263,208
48,380,33,95838,0,4,2,1656,2,4,166357,517,360
49,449,33,95823,0,3,2,1477,2,4,168000,283,203
50,951,9,95624,0,3,2,1188,2,4,170000,77,513
51,845,33,95828,0,4,2,1590,2,4,173000,207,437
52,737,33,95823,0,3,2,1463,2,4,174250,222,374
53,825,33,95828,0,4,2,1714,2,4,174313,209,418
54,804,33,95823,0,3,2,1185,2,4,178480,176,310
55,53,14,95632,0,3,2,1406,2,4,178760,19,728
56,461,33,95842,0,4,2,1943,1,4,179580,608,564
57,915,33,95826,0,3,2,1172,2,4,181000,355,531
58,544,3,95608,0,3,1,1152,2,4,181872,588,669
59,617,33,95823,0,4,3,1851,2,4,182587,135,305
